depth,n_samples,feature,gain_ratio,gr_normalized,ns,ts,ci,scs,alpha,beta
0,135,petal length (cm),0.9999999999999999,0.999999999,1.0,0.9973710865078222,1.0,0.0,1.0,1.0
0,135,petal width (cm),0.9999999999999999,0.999999999,0.0,1.0,1.0,0.0,1.0,1.0
0,135,sepal length (cm),0.6413088350238654,0.6413088343825566,0.0,1.0,1.0,0.0,1.0,1.0
0,135,petal length (cm),0.9999999999999999,0.999999999,1.0,0.9970757773947009,1.0,0.0,1.0,1.0
0,135,petal width (cm),0.9999999999999999,0.999999999,0.0,1.0,1.0,0.0,1.0,1.0
0,135,sepal length (cm),0.5906690322347519,0.5906690316440829,0.0,1.0,1.0,0.0,1.0,1.0
0,135,petal length (cm),0.9999999999999999,0.999999999,1.0,0.9977269338811082,1.0,0.0,1.0,1.0
0,135,petal width (cm),0.9999999999999999,0.999999999,0.0,1.0,1.0,0.0,1.0,1.0
0,135,sepal length (cm),0.5739734066277837,0.5739734060538104,0.0,1.0,1.0,0.0,1.0,1.0
0,629,Cell_Size_Uniformity,0.6262591823110845,0.9999999984032171,0.2639587122714073,0.9700198592483085,0.9910839392705688,0.024177040328649677,1.0,1.0
0,629,Cell_Shape_Uniformity,0.6206754084931742,0.9910839234510089,0.10558348490856295,0.9921732612872523,1.0,0.0,1.0,1.0
0,629,Bare_Nuclei,0.5595962004559403,0.8935536841109596,0.0075416774934687816,1.0,1.0,0.0,1.0,1.0
0,629,Cell_Size_Uniformity,0.597717214905337,0.9999999983269681,0.16070502028844943,0.9735275830506465,0.9490792770916944,0.035304086983673405,1.0,1.0
0,629,Cell_Shape_Uniformity,0.5672809713068953,0.9490791903118581,0.03515422318809831,1.0,1.0,0.0,1.0,1.0
0,629,Bare_Nuclei,0.5632475901187743,0.9423312147127083,0.03515422318809831,0.9821430856738802,1.0,0.0,1.0,1.0
0,629,Cell_Size_Uniformity,0.6262591823110845,0.9999999984032171,0.45080810118044345,0.9749370521521867,0.9549697921810988,0.09326533676591452,1.0,1.0
0,629,Cell_Shape_Uniformity,0.5980585561529134,0.9549697187527503,0.06597191724591855,0.9701936990631044,1.0,0.0,1.0,1.0
0,629,Bland_Chromatin,0.5582975658816963,0.8914800465358936,0.02199063908197285,1.0,1.0,0.0,1.0,1.0
0,562,right-weight,0.14049844561970337,0.9999999928824835,0.036457726857474594,1.0,0.9385628694478841,0.009036599722398581,1.0,1.0
0,562,left-distance,0.13186656283666576,0.9385624254878624,0.0344322975876149,0.9465261976349131,1.0,0.0,1.0,1.0
0,562,right-distance,0.13118702397564164,0.9337257964903656,0.0243051512383164,0.9267857474870829,1.0,0.0,1.0,1.0
0,562,right-distance,0.12507355933751244,0.9999999920047051,0.006020245938898827,1.0,0.9977021381549962,0.00028858661684772965,1.0,1.0
0,562,left-weight,0.1247861552798301,0.9977021118059902,0.011438467283907771,0.7826170389032187,1.0,0.0,1.0,1.0
0,562,left-distance,0.12286438319645629,0.9823369772548678,0.00662227053278871,1.0,1.0,0.0,1.0,1.0
0,562,right-distance,0.1327930046266005,0.9999999924694829,0.001406269905591835,0.9620359117234785,0.9311379797037597,0.0003550175672674213,1.0,1.0
0,562,right-weight,0.12364854118478452,0.9311374541251877,0.0015144445137142838,0.8961877013163884,1.0,0.0,1.0,1.0
0,562,left-weight,0.11959443649645023,0.9006079494332463,0.0010817460812244885,0.822020573973622,1.0,0.0,1.0,1.0
0,691,plas,0.19049273410064346,0.999999994750456,0.39244925135275266,0.8007235167574366,0.9039203999125891,0.0974050962189883,1.0,1.0
0,691,preg,0.17219017230909606,0.9039198907933284,0.03098283563311205,0.9709929598776531,1.0,0.0,1.0,1.0
0,691,skin,0.15431408161949425,0.8100785656627018,0.0,1.0,1.0,0.0,1.0,1.0
0,691,plas,0.21346890579666994,0.999999995315477,0.7273994984808818,0.8422620078222931,0.7694948906107519,0.2941443323751411,1.0,1.0
0,691,preg,0.16426300180969605,0.7694938071995528,0.0,1.0,1.0,0.0,1.0,1.0
0,691,pedi,0.16426300180969605,0.7694938071995528,0.0,1.0,1.0,0.0,1.0,1.0
1,622,preg,0.1967727491814846,0.9999999949179955,0.1545248855797108,0.9746854081782588,0.8492392748099393,0.04403575166504805,1.1498552821997106,1.1498552821997106
1,622,mass,0.16710699605651688,0.8492385043274192,0.12765099243541325,0.818539039559454,1.0,0.0,1.1498552821997106,1.1498552821997106
1,622,pedi,0.16710699605651688,0.8492385043274192,0.006718473286074382,1.0,1.0,0.0,1.1498552821997106,1.1498552821997106
1,69,mass,0.4233284321234655,0.9999999976377678,0.03353887158571461,0.9988398744447556,1.0,0.0,1.9501447178002895,1.9501447178002895
1,69,age,0.4233284321234655,0.9999999976377678,0.015092492213571571,0.9311129702223839,1.0,0.0,1.9501447178002895,1.9501447178002895
1,69,pres,0.214232944825019,0.5060679322773887,0.026831097268571684,0.8861299043866369,1.0,0.0,1.9501447178002895,1.9501447178002895
0,691,plas,0.19733106900388492,0.9999999949323743,0.4414170755530849,0.7642573001343683,0.8725959910028922,0.12041491121279092,1.0,1.0
0,691,preg,0.17219017230909606,0.8725953409450732,0.053831350677205486,0.9825413068770152,1.0,0.0,1.0,1.0
0,691,skin,0.15431408161949425,0.7820060045103704,0.0,1.0,1.0,0.0,1.0,1.0
