mode,accuracy,balanced_accuracy,f1_macro,mcc,roc_auc,pr_auc,avg_ns,avg_ts,nodes,leaves,depth,train_ms,infer_ms,dataset,fold
classic,0.7941176470588235,0.6782312925170068,0.6156462585034014,0.7302378593333523,,,0.0,0.0,87,44,16,426.4934062957764,5.324840545654297,ecoli,0
metacog,0.4411764705882353,0.1428571428571428,0.0874635568513119,0.0,,,0.1197049234169874,1.0,1,1,1,1342.6182270050049,1.6231536865234375,ecoli,0
classic,0.8235294117647058,0.6605442176870747,0.6866805813234385,0.7534082755577931,,,0.0,0.0,85,43,16,413.6929512023926,3.1752586364746094,ecoli,1
metacog,0.4411764705882353,0.1428571428571428,0.0874635568513119,0.0,,,0.0708494129581319,0.9960548839690792,1,1,1,1334.4435691833496,0.9074211120605468,ecoli,1
classic,0.7941176470588235,0.6782312925170066,0.6180533751962323,0.7203811695104019,,,0.0,0.0,89,45,17,458.39881896972656,4.301071166992188,ecoli,2
metacog,0.4411764705882353,0.1428571428571428,0.0874635568513119,0.0,,,0.324424713904626,0.9959073641624968,1,1,1,1324.225902557373,1.6083717346191406,ecoli,2
classic,0.8529411764705882,0.7261904761904763,0.7198879551820728,0.800743180891694,,,0.0,0.0,89,45,17,492.5546646118164,3.2906532287597656,ecoli,3
metacog,0.4117647058823529,0.1428571428571428,0.0833333333333333,0.0,,,0.0729817774313412,1.0,1,1,1,1344.6619510650637,1.5523433685302734,ecoli,3
classic,0.8529411764705882,0.8357142857142857,0.8472590627763041,0.7977076209737944,,,0.0,0.0,87,44,16,433.3009719848633,4.765510559082031,ecoli,4
metacog,0.4117647058823529,0.2,0.1166666666666666,0.0,,,0.2026795192607927,0.9977705412420788,1,1,1,1285.4814529418943,1.6148090362548828,ecoli,4
classic,0.8529411764705882,0.7666666666666667,0.7882549634273772,0.8000580699017206,,,0.0,0.0,91,46,18,457.3853015899658,4.833459854125977,ecoli,5
metacog,0.4117647058823529,0.2,0.1166666666666666,0.0,,,0.1047588018333369,0.9975825638409695,1,1,1,1322.2899436950684,3.3121109008789062,ecoli,5
classic,0.8787878787878788,0.845,0.828103448275862,0.8336045987505911,,,0.0,0.0,87,44,17,457.637071609497,2.660989761352539,ecoli,6
metacog,0.4242424242424242,0.2,0.1191489361702127,0.0,,,0.0490900248297105,0.9977309726848792,1,1,1,1352.036476135254,1.562356948852539,ecoli,6
classic,0.9090909090909092,0.8857142857142858,0.8891010949834479,0.8763352300199677,,,0.0,0.0,85,43,18,439.826250076294,2.907991409301758,ecoli,7
metacog,0.4242424242424242,0.2,0.1191489361702127,0.0,,,0.082525959169861,0.996754981678416,1,1,1,1318.292856216431,2.8231143951416016,ecoli,7
classic,0.8484848484848485,0.8457142857142858,0.8411688311688312,0.7913511623657107,,,0.0,0.0,87,44,17,463.78326416015625,4.086494445800781,ecoli,8
metacog,0.4242424242424242,0.2,0.1191489361702127,0.0,,,0.0387886877330228,0.9961060306914894,1,1,1,1294.4114208221436,1.6067028045654297,ecoli,8
classic,0.7878787878787878,0.7597222222222221,0.7710385878489326,0.7077504749802612,,,0.0,0.0,87,44,17,480.8323383331299,4.338502883911133,ecoli,9
metacog,0.4242424242424242,0.1666666666666666,0.0992907801418439,0.0,,,0.2191968758692402,0.9961575533154796,1,1,1,1366.9960498809814,1.646280288696289,ecoli,9
classic,0.8235294117647058,0.692517006802721,0.6879087118718455,0.7546586064883005,,,0.0,0.0,89,45,16,432.9912662506104,4.122495651245117,ecoli,10
metacog,0.4411764705882353,0.1428571428571428,0.0874635568513119,0.0,,,0.1699012637299546,0.9997803250828744,1,1,1,1313.629150390625,1.699686050415039,ecoli,10
classic,0.8529411764705882,0.7319727891156462,0.7141215106732348,0.8023832267130496,,,0.0,0.0,89,45,16,483.4916591644287,4.05430793762207,ecoli,11
metacog,0.4411764705882353,0.1428571428571428,0.0874635568513119,0.0,,,0.1004801820509638,0.9968443981873638,1,1,1,1298.6538410186768,1.5406608581542969,ecoli,11
classic,0.7941176470588235,0.5938775510204082,0.5722689075630252,0.7188710137721546,,,0.0,0.0,87,44,18,506.4849853515625,4.729032516479492,ecoli,12
metacog,0.4411764705882353,0.1428571428571428,0.0874635568513119,0.0,,,0.1828565533083647,1.0,1,1,1,1375.5369186401367,1.591205596923828,ecoli,12
classic,0.7352941176470589,0.4738095238095238,0.4828231292517007,0.6418285889263495,,,0.0,0.0,75,38,18,431.279182434082,4.016637802124023,ecoli,13
metacog,0.4117647058823529,0.1428571428571428,0.0833333333333333,0.0,,,0.4023516382495606,0.9973582580007188,1,1,1,1326.9696235656738,1.611948013305664,ecoli,13
classic,0.7647058823529411,0.7238095238095238,0.7287545787545787,0.6855508879580129,,,0.0,0.0,87,44,17,453.9945125579834,4.1255950927734375,ecoli,14
metacog,0.4117647058823529,0.2,0.1166666666666666,0.0,,,0.0840486679984533,0.9965821835447604,1,1,1,1334.167718887329,1.613616943359375,ecoli,14
classic,0.7647058823529411,0.6607142857142858,0.5720133667502089,0.6820673465398158,,,0.0,0.0,79,40,17,395.7405090332031,3.874301910400391,ecoli,15
metacog,0.4117647058823529,0.2,0.1166666666666666,0.0,,,0.0034075350859585,0.5709693686619665,1,1,1,1338.5791778564453,1.5757083892822266,ecoli,15
classic,0.7878787878787878,0.77,0.6478243021346469,0.7131934818496707,,,0.0,0.0,89,45,18,512.9702091217041,4.115581512451172,ecoli,16
metacog,0.4242424242424242,0.2,0.1191489361702127,0.0,,,0.0397818907150965,0.9974481471665556,1,1,1,1317.0828819274902,1.5451908111572266,ecoli,16
classic,0.9090909090909092,0.9107142857142858,0.8994107744107744,0.8763073323990428,,,0.0,0.0,91,46,17,505.63788414001465,4.00853157043457,ecoli,17
metacog,0.4242424242424242,0.2,0.1191489361702127,0.0,,,0.0547677005929149,0.993850734210941,1,1,1,1300.4682064056396,1.5337467193603516,ecoli,17
