dataset,metric,wilcoxon_p,cliffs_delta
ecoli,mcc,1.7763568394002505e-15,-1.0
glass,mcc,1.7763568394002505e-15,-0.9984
haberman,mcc,0.0011199775337222694,-0.32
hypothyroid,mcc,5.712586555871873e-10,-1.0
ionosphere,mcc,7.439848234956391e-10,-0.9984
iris,mcc,3.8822186811630614e-10,-1.0
kc1,mcc,1.1476976608074631e-09,-0.88
kr-vs-kp,mcc,7.555220876380673e-10,-0.9828
letter,mcc,1.7763568394002505e-15,-1.0
mushroom,mcc,7.478692979574153e-10,-1.0
ecoli,nodes,6.690860397899944e-10,-1.0
glass,nodes,6.660288759349778e-10,-1.0
haberman,nodes,7.364371412569183e-10,-1.0
hypothyroid,nodes,2.2595297026620993e-10,-1.0
ionosphere,nodes,5.863166089024542e-10,-1.0
iris,nodes,2.481847288721682e-10,-1.0
kc1,nodes,7.384431010314599e-10,-1.0
kr-vs-kp,nodes,6.291493695348289e-10,-1.0
letter,nodes,7.438163451773046e-10,-1.0
mushroom,nodes,9.684905105155175e-11,-1.0
ecoli,infer_ms,1.7763568394002505e-15,-0.972
glass,infer_ms,1.7763568394002505e-15,-0.9904
haberman,infer_ms,5.802245794939154e-09,-0.916
hypothyroid,infer_ms,5.329070518200751e-15,-0.8984
ionosphere,infer_ms,6.337863567296154e-11,-0.9472
iris,infer_ms,7.555220876380673e-10,-0.9472
kc1,infer_ms,7.555220876380673e-10,-1.0
kr-vs-kp,infer_ms,8.237559280566131e-05,-0.5168
letter,infer_ms,1.7763568394002505e-15,-0.988
mushroom,infer_ms,7.638334409421077e-14,-0.8136
