mode,accuracy,balanced_accuracy,f1_macro,mcc,roc_auc,pr_auc,avg_ns,avg_ts,nodes,leaves,depth,train_ms,infer_ms,dataset,fold
classic,0.89,0.7630952380952382,0.7649603460706561,0.83998760371553,0.9140835882330728,,0.0,0.0,169,85,13,210.9966278076172,8.215188980102539,nursery,0
metacog,0.77,0.5845238095238096,0.5677655677655677,0.6977684775744334,0.843848466825271,,0.6291689288772169,0.9307894286827308,7,4,4,790.8520698547363,5.996227264404297,nursery,0
classic,0.92,0.8613505747126436,0.8628539253539254,0.8831504701606397,0.9193826407473656,,0.0,0.0,169,85,12,247.3881244659424,17.758846282958984,nursery,1
metacog,0.8,0.6051245210727969,0.5956072351421189,0.7309678834588995,0.8564796091327809,,0.6933997270806964,0.972230921131206,7,4,4,976.4399528503418,6.046772003173828,nursery,1
classic,0.88,0.83022030651341,0.7974224224224224,0.8267270650079314,0.902910503649551,,0.0,0.0,163,82,14,216.0971164703369,8.281469345092773,nursery,2
metacog,0.77,0.5809386973180076,0.5677655677655677,0.6872801622272904,0.8439724168798439,,0.6681579541336057,0.966724464353942,7,4,4,897.6829051971436,6.243228912353516,nursery,2
classic,0.92,0.8663793103448276,0.8630613535736875,0.8854149835487417,0.9701705786124892,,0.0,0.0,179,90,12,220.8552360534668,8.697509765625,nursery,3
metacog,0.73,0.5548371647509579,0.5455882352941177,0.6080074014594655,0.8433702096674727,,0.6280612990425076,0.970137261504444,7,4,4,841.7470455169678,18.12124252319336,nursery,3
classic,0.89,0.6860632183908045,0.6785714285714286,0.8387714369755594,0.8318643263737115,,0.0,0.0,175,88,15,212.0611667633057,8.128643035888672,nursery,4
metacog,0.8,0.6118295019157088,0.6056910569105691,0.7094910205648358,0.9177162513092786,,0.6267583188598028,0.9521253420760324,11,6,5,1469.6884155273438,6.700754165649414,nursery,4
classic,0.89,0.9169061302681992,0.8827639751552795,0.8409167284097966,0.9663421746019278,,0.0,0.0,175,88,15,219.88415718078613,8.747577667236328,nursery,5
metacog,0.73,0.548132183908046,0.5274193548387097,0.6310795971955762,0.8233266094374041,,0.7775264354411098,0.9579484789785008,5,3,3,731.3435077667236,5.217552185058594,nursery,5
classic,0.86,0.891044061302682,0.8180555555555555,0.7984165097133128,0.945322289219962,,0.0,0.0,163,82,14,191.83969497680664,9.156227111816406,nursery,6
metacog,0.79,0.5948275862068966,0.5810483870967742,0.7280444520783791,0.846778970514788,,0.715214349247436,0.9626722779707964,7,4,4,973.9179611206056,16.579151153564453,nursery,6
classic,0.9,0.8457854406130267,0.8272551772551773,0.8547185900700182,0.9555368343141362,,0.0,0.0,165,83,13,206.2406539916992,8.955955505371094,nursery,7
metacog,0.74,0.5567528735632183,0.5391039236479321,0.6432289493924149,0.828936048432287,,0.7410393958902571,0.936790912361047,5,3,3,776.0426998138428,7.608652114868164,nursery,7
classic,0.91,0.7763409961685824,0.7930014430014429,0.8698034041087148,0.910437553505094,,0.0,0.0,159,80,13,198.4889507293701,12.21323013305664,nursery,8
metacog,0.78,0.5912356321839081,0.5819444444444444,0.692657760637637,0.8541329057150403,,0.6077815561288343,0.9655411700325304,7,4,4,817.9910182952881,5.93876838684082,nursery,8
classic,0.92,0.830952380952381,0.8436041083099906,0.8846594960521822,0.9003645833333332,,0.0,0.0,165,83,12,210.1728916168213,9.237289428710938,nursery,9
metacog,0.74,0.5666666666666667,0.5375548245614035,0.6750672978149217,0.8247098214285714,,0.6703087978501745,0.9695680856415844,7,4,4,875.375509262085,7.719516754150391,nursery,9
classic,0.92,0.8642857142857142,0.8928104575163398,0.8836957067201098,0.9586318020467504,,0.0,0.0,171,86,15,231.35113716125488,8.794307708740234,nursery,10
metacog,0.73,0.5511904761904762,0.5210526315789473,0.6528817390437672,0.821496025452211,,0.6180155486298257,0.9655334176203384,7,4,4,807.7282905578613,37.52708435058594,nursery,10
classic,0.88,0.7538314176245211,0.7696172248803828,0.824526637597771,0.8984704025578898,,0.0,0.0,157,79,12,253.5271644592285,8.41975212097168,nursery,11
metacog,0.74,0.5550766283524904,0.5334151663938898,0.6515951356191815,0.8269141747865933,,0.6184528804511036,0.9721426328673368,7,4,4,798.9253997802734,7.432222366333008,nursery,11
classic,0.9,0.9238505747126438,0.8904358353510896,0.8548252816781482,0.9580546832428016,,0.0,0.0,175,88,13,256.6249370574951,11.215686798095703,nursery,12
metacog,0.78,0.5895593869731801,0.5784237726098191,0.6993652944637029,0.8495818558747268,,0.7053386697367545,0.9634254028826283,7,4,4,730.5285930633545,6.229400634765625,nursery,12
classic,0.88,0.6774425287356322,0.6706293706293707,0.8246795499511289,0.8623345677513355,,0.0,0.0,157,79,12,285.3882312774658,8.336305618286133,nursery,13
metacog,0.74,0.5601053639846744,0.5483585858585859,0.6302561605801922,0.8386129608844186,,0.6394831642292594,0.9463797712908492,7,4,4,738.0380630493164,6.179094314575195,nursery,13
classic,0.94,0.8055555555555556,0.8035714285714286,0.9128664726614176,0.9776270489445592,,0.0,0.0,167,84,13,259.94348526000977,8.130788803100586,nursery,14
metacog,0.74,0.5550766283524904,0.5334151663938898,0.6515951356191815,0.8264543245693898,,0.6400131087139803,0.9639387365254056,7,4,4,762.5579833984375,6.969213485717773,nursery,14
classic,0.93,0.7935823754789272,0.7963636363636364,0.8983910959766518,0.8883620554376664,,0.0,0.0,171,86,15,227.56147384643555,7.745981216430664,nursery,15
metacog,0.83,0.6309865900383143,0.6250624687656172,0.7673006825254317,0.8726181507916242,,0.6259794779973353,0.9129733900343112,5,3,3,644.6921825408936,5.812406539916992,nursery,15
classic,0.88,0.7555076628352491,0.7699857752489331,0.8236499477929686,0.8713466059020388,,0.0,0.0,161,81,14,228.87682914733887,9.70458984375,nursery,16
metacog,0.8,0.6051245210727969,0.5956072351421189,0.7309678834588995,0.8568244967956835,,0.5859604340369605,0.962442573994362,7,4,4,763.5712623596191,5.982398986816406,nursery,16
classic,0.92,0.7866379310344828,0.8221109040074557,0.8822958247855417,0.9389463679113974,,0.0,0.0,171,86,15,236.1321449279785,8.668661117553711,nursery,17
metacog,0.75,0.5636973180076629,0.5452956989247312,0.6634012154898438,0.8327535388900781,,0.6761985562405973,0.9772465659707498,7,4,4,738.7115955352783,6.07609748840332,nursery,17
classic,0.85,0.7262931034482759,0.7437037037037036,0.7862248718284246,0.8989078967794875,,0.0,0.0,159,80,12,237.4749183654785,7.858514785766602,nursery,18
metacog,0.78,0.5878831417624522,0.5743637327677624,0.7073594528213696,0.8453756936973159,,0.6837157182363309,0.9643631908685072,7,4,4,753.3268928527832,10.799169540405272,nursery,18
classic,0.89,0.9142857142857144,0.8573715017376988,0.8438083203613923,0.94022707760989,,0.0,0.0,173,87,13,233.34765434265137,9.888648986816406,nursery,19
metacog,0.75,0.5785714285714285,0.5631086142322097,0.6583121877187208,0.8425881410256411,,0.6135298083913716,0.979798751841678,7,4,4,714.9848937988281,6.425619125366211,nursery,19
classic,0.85,0.8821428571428571,0.8097412480974124,0.7859449011313779,0.9318274423171332,,0.0,0.0,169,85,13,283.7328910827637,9.815692901611328,nursery,20
metacog,0.82,0.6297619047619047,0.6229952830188679,0.7408721141640451,0.9312491031305464,,0.5601517027068872,0.9656188690587784,13,7,5,1474.756956100464,6.424427032470703,nursery,20
classic,0.93,0.8666187739463601,0.8994949494949496,0.8994440040101874,0.9620225167455884,,0.0,0.0,175,88,15,212.41331100463867,9.891748428344728,nursery,21
metacog,0.76,0.5723180076628352,0.5567338282078473,0.6752942011068923,0.8379031276677573,,0.6336636163859437,0.9629689492335132,7,4,4,711.8194103240967,5.921602249145508,nursery,21
classic,0.86,0.6618773946360152,0.6666666666666666,0.7980390336279759,0.8205425391989085,,0.0,0.0,163,82,13,199.5422840118408,7.859945297241211,nursery,22
metacog,0.81,0.6120689655172413,0.6025641025641025,0.750931948495157,0.8579978485045539,,0.5877403585413005,0.9637852390158766,7,4,4,710.7031345367432,7.966995239257812,nursery,22
classic,0.9,0.9255268199233716,0.8502409438351611,0.857509125118365,0.9496264253617128,,0.0,0.0,163,82,12,206.76398277282715,8.923053741455078,nursery,23
metacog,0.75,0.5620210727969349,0.5394736842105263,0.6727597522109409,0.8282024890497646,,0.7076647530854284,0.971868934406749,7,4,4,705.2204608917236,6.208419799804688,nursery,23
classic,0.94,0.8038793103448276,0.8374999999999999,0.9120476997755924,0.934609112440174,,0.0,0.0,169,85,15,199.08428192138672,8.135557174682617,nursery,24
metacog,0.8,0.6051245210727969,0.5956072351421189,0.7309678834588995,0.8568244967956835,,0.6547886167728373,0.963551950483272,7,4,4,690.5150413513184,6.097316741943359,nursery,24
classic,0.95,0.8872126436781609,0.8863491684570701,0.9270044530300332,0.9338749891255638,,0.0,0.0,175,88,13,213.9582633972168,7.274627685546875,nursery,25
metacog,0.73,0.5514846743295019,0.5377936670071501,0.617372486214304,0.8353027729755538,,0.5855786242201295,0.9707605284715196,7,4,4,729.7854423522949,5.422115325927734,nursery,25
classic,0.93,0.8682950191570881,0.8706060606060606,0.8983910959766518,0.9731336839782648,,0.0,0.0,171,86,13,198.2400417327881,5.122184753417969,nursery,26
metacog,0.79,0.5965038314176245,0.5851648351648351,0.7191060553612236,0.8513300203551015,,0.675378481276347,0.9648236702683706,7,4,4,707.6277732849121,7.218599319458008,nursery,26
classic,0.88,0.6807950191570882,0.6749767008387697,0.8231210545115282,0.861480696880631,,0.0,0.0,161,81,12,207.9565525054932,9.265661239624023,nursery,27
metacog,0.76,0.5739942528735632,0.5612403100775194,0.6677627054685061,0.8418793647365663,,0.6476122990094642,0.966487571780878,7,4,4,665.1172637939453,7.878541946411133,nursery,27
classic,0.89,0.8338122605363985,0.8377388930255646,0.8439694063203371,0.9674930551383112,,0.0,0.0,171,86,15,215.1353359222412,9.847640991210938,nursery,28
metacog,0.77,0.5792624521072798,0.5631720430107527,0.6957228337841115,0.8395363295938312,,0.5977482723022653,0.9471211013079122,7,4,4,707.2041034698486,6.256103515625,nursery,28
classic,0.91,0.7648809523809523,0.7941379310344827,0.8701233358241609,0.9073018257783882,,0.0,0.0,167,84,12,202.1043300628662,9.086370468139648,nursery,29
metacog,0.73,0.5630952380952381,0.5463795255930087,0.6269565226690079,0.8356055402930402,,0.7143342870925535,0.9639176412002854,7,4,4,688.4841918945312,6.305217742919922,nursery,29
classic,0.92,0.7845238095238096,0.8218984962406015,0.8854123646510914,0.938283816698765,,0.0,0.0,159,80,13,180.53698539733887,7.969141006469727,nursery,30
