dataset,metric,wilcoxon_p,cliffs_delta
nursery,mcc,1.7763568394002505e-15,-0.9912
pc1,mcc,6.328616526710556e-09,-0.68
pendigits,mcc,1.7763568394002505e-15,-1.0
segment,mcc,7.555220876380673e-10,-1.0
sick,mcc,0.6274039453937755,-0.0652
sonar,mcc,2.805418706005193e-09,-0.88
spambase,mcc,7.541564726440781e-10,-1.0
synthetic_imbalanced,mcc,0.04286569289493757,0.42
synthetic_noise_20,mcc,4.1663543317854056e-05,-0.52
tic-tac-toe,mcc,7.543270531852816e-10,-1.0
nursery,nodes,7.093472044944641e-10,-1.0
pc1,nodes,7.336037440414057e-10,-1.0
pendigits,nodes,7.145299308561898e-10,-1.0
segment,nodes,6.561796080073329e-10,-1.0
sick,nodes,5.927412093982619e-10,-1.0
sonar,nodes,6.862837081639737e-10,-1.0
spambase,nodes,7.148549780181428e-10,-1.0
synthetic_imbalanced,nodes,3.370260205002869e-10,-1.0
synthetic_noise_20,nodes,1.0963629466583111e-10,-1.0
tic-tac-toe,nodes,7.321076783087054e-10,-1.0
nursery,infer_ms,2.7362618194116665e-05,-0.68
pc1,infer_ms,1.7763568394002505e-15,-1.0
pendigits,infer_ms,1.7763568394002505e-15,-0.9976
segment,infer_ms,1.7763568394002505e-15,-0.98
sick,infer_ms,8.060396794462577e-11,-0.8216
sonar,infer_ms,3.6770586575585185e-13,-0.9408
spambase,infer_ms,1.7763568394002505e-15,-0.992
synthetic_imbalanced,infer_ms,1.7763568394002505e-15,-1.0
synthetic_noise_20,infer_ms,1.7763568394002505e-15,-0.9984
tic-tac-toe,infer_ms,1.7763568394002505e-15,-0.992
