mode,accuracy,balanced_accuracy,f1_macro,mcc,roc_auc,pr_auc,avg_ns,avg_ts,nodes,leaves,depth,train_ms,infer_ms,dataset,fold
classic,0.77,0.6912087912087912,0.7047875754075215,0.4747723007967709,0.7516483516483515,0.6598519407763106,0.0,0.0,79,40,21,66525.50888061523,17.569541931152344,MagicTelescope,0
metacog,0.65,0.5,0.3939393939393939,0.0,0.5,0.35,0.0316724494807344,0.9087863193289344,1,1,1,381501.7378330231,4.32133674621582,MagicTelescope,0
classic,0.76,0.676923076923077,0.6881496881496881,0.4493054359813343,0.7701098901098901,0.6376543087170113,0.0,0.0,99,50,21,67368.97134780884,15.093564987182615,MagicTelescope,1
metacog,0.65,0.5,0.3939393939393939,0.0,0.5,0.35,0.044363333452697,0.9514530753494882,1,1,1,393977.767944336,4.195690155029297,MagicTelescope,1
classic,0.77,0.6912087912087912,0.7047875754075215,0.4747723007967709,0.8021978021978022,0.6864069540859823,0.0,0.0,73,37,21,63027.33278274536,13.094186782836914,MagicTelescope,2
metacog,0.65,0.5,0.3939393939393939,0.0,0.5,0.35,0.0468804302236977,0.9319829644042468,1,1,1,404949.1732120514,4.038810729980469,MagicTelescope,2
classic,0.79,0.732967032967033,0.7475658131987017,0.5203586134220901,0.8281318681318681,0.6793650793650794,0.0,0.0,91,46,21,63013.69762420654,13.30876350402832,MagicTelescope,3
metacog,0.65,0.5,0.3939393939393939,0.0,0.5,0.35,0.0991432267588758,0.9297002156445836,1,1,1,393625.2987384796,4.235744476318359,MagicTelescope,3
classic,0.78,0.7120879120879121,0.7271825396825397,0.4967220278519846,0.845054945054945,0.6939402774096652,0.0,0.0,83,42,21,65954.185962677,12.81285285949707,MagicTelescope,4
metacog,0.65,0.5,0.3939393939393939,0.0,0.5,0.35,0.1677549226889918,0.9420058241309246,1,1,1,391177.7086257935,4.181385040283203,MagicTelescope,4
classic,0.73,0.667032967032967,0.6754417598269022,0.3730873077365929,0.758021978021978,0.5875893775847615,0.0,0.0,93,47,21,63600.68893432617,13.196945190429688,MagicTelescope,5
metacog,0.65,0.5,0.3939393939393939,0.0,0.5,0.35,0.009541776396624,0.9319835427236046,1,1,1,392875.7390975952,4.227399826049805,MagicTelescope,5
classic,0.78,0.7049910873440286,0.7209538305428715,0.4855303805588614,0.8484848484848485,0.6832244154025692,0.0,0.0,73,37,21,66342.6034450531,13.094425201416016,MagicTelescope,6
metacog,0.66,0.5,0.3975903614457831,0.0,0.5,0.34,0.0021604349985638,0.9969238503648248,1,1,1,391370.6946372986,4.346609115600586,MagicTelescope,6
classic,0.69,0.679590017825312,0.6693333333333333,0.3459439033483779,0.7417557932263815,0.5794917768335478,0.0,0.0,81,41,21,63570.65105438232,12.956857681274414,MagicTelescope,7
metacog,0.66,0.5,0.3975903614457831,0.0,0.5,0.34,0.1040754163967059,0.938006033233182,1,1,1,403801.68986320496,4.150629043579102,MagicTelescope,7
classic,0.8,0.7344028520499108,0.751984126984127,0.5360998327910006,0.7450980392156863,0.6500381970970206,0.0,0.0,87,44,21,63718.24169158936,12.765169143676758,MagicTelescope,8
metacog,0.66,0.5,0.3975903614457831,0.0,0.5,0.34,0.0921312282339746,0.89113363143695,1,1,1,392068.3977603912,4.530668258666992,MagicTelescope,8
classic,0.77,0.6902852049910874,0.7047875754075215,0.4595440363323629,0.8308823529411764,0.658908414624431,0.0,0.0,67,34,21,65771.71087265015,13.217926025390623,MagicTelescope,9
metacog,0.66,0.5,0.3975903614457831,0.0,0.5,0.34,0.3071799741019244,0.9570858550254476,1,1,1,380892.6434516907,4.677772521972656,MagicTelescope,9
