dataset,metric,wilcoxon_p,cliffs_delta
MagicTelescope,mcc,7.539859267508618e-10,-1.0
adult,mcc,5.374574670646837e-05,-0.4824
balance-scale,mcc,7.551804758280675e-10,-1.0
bank-marketing,mcc,8.005781047326387e-10,-0.9608
blood-transfusion-service-center,mcc,1.0824275574208943e-09,-0.88
breast-w,mcc,7.429744675394222e-10,-1.0
breast_cancer,mcc,7.49563874693236e-10,-1.0
car,mcc,1.7763568394002505e-15,-1.0
credit-g,mcc,0.0006111664001068052,0.28
diabetes,mcc,1.8587724391191065e-09,-0.8648
MagicTelescope,nodes,7.35602770398287e-10,-1.0
adult,nodes,7.444904641426313e-10,-1.0
balance-scale,nodes,6.789539072728889e-10,-1.0
bank-marketing,nodes,7.37941151476607e-10,-1.0
blood-transfusion-service-center,nodes,7.231886985082028e-10,-1.0
breast-w,nodes,6.927357796180767e-10,-1.0
breast_cancer,nodes,6.477992872559833e-10,-1.0
car,nodes,6.528757870263284e-10,-1.0
credit-g,nodes,7.455026716034453e-10,-1.0
diabetes,nodes,7.2697551892272e-10,-1.0
MagicTelescope,infer_ms,1.7763568394002505e-15,-0.9984
adult,infer_ms,1.7763568394002505e-15,-1.0
balance-scale,infer_ms,2.4868995751603507e-14,-0.884
bank-marketing,infer_ms,1.7763568394002505e-15,-1.0
blood-transfusion-service-center,infer_ms,1.7763568394002505e-15,-1.0
breast-w,infer_ms,1.7763568394002505e-15,-0.936
breast_cancer,infer_ms,1.7763568394002505e-15,-0.9536
car,infer_ms,4.3806736016449577e-11,-0.8776
credit-g,infer_ms,1.7763568394002505e-15,-0.9976
diabetes,infer_ms,1.7763568394002505e-15,-0.9984
ecoli,mcc,1.7763568394002505e-15,-1.0
glass,mcc,1.7763568394002505e-15,-0.9984
haberman,mcc,0.0011199775337222694,-0.32
hypothyroid,mcc,5.712586555871873e-10,-1.0
ionosphere,mcc,7.439848234956391e-10,-0.9984
iris,mcc,3.8822186811630614e-10,-1.0
kc1,mcc,1.1476976608074631e-09,-0.88
kr-vs-kp,mcc,7.555220876380673e-10,-0.9828
letter,mcc,1.7763568394002505e-15,-1.0
mushroom,mcc,7.478692979574153e-10,-1.0
ecoli,nodes,6.690860397899944e-10,-1.0
glass,nodes,6.660288759349778e-10,-1.0
haberman,nodes,7.364371412569183e-10,-1.0
hypothyroid,nodes,2.2595297026620993e-10,-1.0
ionosphere,nodes,5.863166089024542e-10,-1.0
iris,nodes,2.481847288721682e-10,-1.0
kc1,nodes,7.384431010314599e-10,-1.0
kr-vs-kp,nodes,6.291493695348289e-10,-1.0
letter,nodes,7.438163451773046e-10,-1.0
mushroom,nodes,9.684905105155175e-11,-1.0
ecoli,infer_ms,1.7763568394002505e-15,-0.972
glass,infer_ms,1.7763568394002505e-15,-0.9904
haberman,infer_ms,5.802245794939154e-09,-0.916
hypothyroid,infer_ms,5.329070518200751e-15,-0.8984
ionosphere,infer_ms,6.337863567296154e-11,-0.9472
iris,infer_ms,7.555220876380673e-10,-0.9472
kc1,infer_ms,7.555220876380673e-10,-1.0
kr-vs-kp,infer_ms,8.237559280566131e-05,-0.5168
letter,infer_ms,1.7763568394002505e-15,-0.988
mushroom,infer_ms,7.638334409421077e-14,-0.8136
nursery,mcc,1.7763568394002505e-15,-0.9912
pc1,mcc,6.328616526710556e-09,-0.68
pendigits,mcc,1.7763568394002505e-15,-1.0
segment,mcc,7.555220876380673e-10,-1.0
sick,mcc,0.6274039453937755,-0.0652
sonar,mcc,2.805418706005193e-09,-0.88
spambase,mcc,7.541564726440781e-10,-1.0
synthetic_imbalanced,mcc,0.04286569289493757,0.42
synthetic_noise_20,mcc,4.1663543317854056e-05,-0.52
tic-tac-toe,mcc,7.543270531852816e-10,-1.0
nursery,nodes,7.093472044944641e-10,-1.0
pc1,nodes,7.336037440414057e-10,-1.0
pendigits,nodes,7.145299308561898e-10,-1.0
segment,nodes,6.561796080073329e-10,-1.0
sick,nodes,5.927412093982619e-10,-1.0
sonar,nodes,6.862837081639737e-10,-1.0
spambase,nodes,7.148549780181428e-10,-1.0
synthetic_imbalanced,nodes,3.370260205002869e-10,-1.0
synthetic_noise_20,nodes,1.0963629466583111e-10,-1.0
tic-tac-toe,nodes,7.321076783087054e-10,-1.0
nursery,infer_ms,2.7362618194116665e-05,-0.68
pc1,infer_ms,1.7763568394002505e-15,-1.0
pendigits,infer_ms,1.7763568394002505e-15,-0.9976
segment,infer_ms,1.7763568394002505e-15,-0.98
sick,infer_ms,8.060396794462577e-11,-0.8216
sonar,infer_ms,3.6770586575585185e-13,-0.9408
spambase,infer_ms,1.7763568394002505e-15,-0.992
synthetic_imbalanced,infer_ms,1.7763568394002505e-15,-1.0
synthetic_noise_20,infer_ms,1.7763568394002505e-15,-0.9984
tic-tac-toe,infer_ms,1.7763568394002505e-15,-0.992
