mode,accuracy,balanced_accuracy,f1_macro,mcc,roc_auc,pr_auc,avg_ns,avg_ts,nodes,leaves,depth,train_ms,infer_ms,dataset,fold,theta_accept,theta_reject,gamma
classic,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,17,9,7,24.89328384399414,0.9610652923583984,iris,0,,,
classic,0.9333333333333333,0.9333333333333332,0.9326599326599326,0.9060606745389328,1.0,,0.0,0.0,13,7,6,21.403074264526367,0.5700588226318359,iris,1,,,
classic,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,13,7,6,20.34616470336914,0.545501708984375,iris,2,,,
classic,0.9333333333333333,0.9333333333333332,0.9326599326599326,0.9060606745389328,0.9500000000000001,,0.0,0.0,15,8,7,18.274784088134766,0.5042552947998047,iris,3,,,
classic,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8,0.9433333333333334,,0.0,0.0,11,6,6,17.78101921081543,0.4954338073730469,iris,4,,,
classic,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,13,7,4,156.16106986999512,0.5977153778076172,wine,0,,,
classic,0.9444444444444444,0.9523809523809524,0.9440559440559441,0.9209401941068135,0.9633699633699634,,0.0,0.0,15,8,5,187.73245811462402,0.6153583526611328,wine,1,,,
classic,0.8888888888888888,0.8857142857142858,0.8897028897028897,0.8349428160107797,0.9138167388167387,,0.0,0.0,9,5,4,117.8581714630127,0.621795654296875,wine,2,,,
classic,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,13,7,5,165.15493392944336,0.5831718444824219,wine,3,,,
classic,0.8888888888888888,0.9047619047619048,0.8885003885003885,0.8457943925233645,0.9256715506715506,,0.0,0.0,11,6,4,130.56468963623047,0.5645751953125,wine,4,,,
classic,0.8947368421052632,0.8974025974025974,0.8906649616368286,0.7836884907482609,0.8974025974025973,0.9022100706311232,0.0,0.0,47,24,14,4793.734788894653,2.727031707763672,breast_cancer,0,,,
classic,0.9473684210526315,0.9487012987012987,0.9449275362318841,0.8904905361044291,0.948051948051948,0.949398898315307,0.0,0.0,51,26,16,5239.60018157959,2.2416114807128906,breast_cancer,1,,,
classic,0.9298245614035088,0.9345238095238095,0.9259740259740259,0.8544784126535336,0.9477513227513227,0.9517777286353137,0.0,0.0,53,27,20,6891.101598739624,4.018068313598633,breast_cancer,2,,,
classic,0.8771929824561403,0.8630952380952381,0.8666889408620113,0.7339992004456315,0.8756613756613758,0.8839909835830991,0.0,0.0,35,18,13,3795.7394123077393,2.460479736328125,breast_cancer,3,,,
classic,0.9122807017543859,0.9206349206349206,0.9082125603864735,0.8219277191853159,0.9206349206349206,0.9321283005493531,0.0,0.0,45,23,13,4400.798320770264,2.219676971435547,breast_cancer,4,,,
classic,0.795,0.7525409373235461,0.7319473047628386,0.47086413635159574,0.8414737436476567,0.4924009444988945,0.0,0.0,277,139,21,1498.091220855713,11.842012405395508,adult,0,,,
classic,0.77,0.7363071710897797,0.7082699137493658,0.4300419130036369,0.7783738001129306,0.4566276592552585,0.0,0.0,237,119,21,1428.5054206848145,10.865926742553711,adult,1,,,
classic,0.795,0.6153303218520609,0.6324682891847071,0.3166479006827506,0.7885375494071146,0.45975840016344677,0.0,0.0,235,118,21,1406.5165519714355,10.437965393066406,adult,2,,,
classic,0.77,0.5762281197063805,0.5826528760660498,0.21386180543479086,0.7551524562394127,0.4115283006690618,0.0,0.0,245,123,21,1465.177059173584,9.646177291870117,adult,3,,,
classic,0.805,0.7285431959345003,0.7268046653357151,0.4536729900227803,0.7643280632411067,0.47769363384071994,0.0,0.0,229,115,21,1443.1018829345703,11.604547500610352,adult,4,,,
metacog,0.6666666666666666,0.6666666666666666,0.5555555555555555,0.6123724356957945,0.8333333333333334,,0.5087148216635994,0.9931689782126119,3,2,2,459.0108394622803,0.48160552978515625,iris,0,0.15,0.01,0.0
metacog,0.6666666666666666,0.6666666666666666,0.5555555555555555,0.6123724356957945,0.8333333333333334,,0.5053783704402405,0.9846235543341044,3,2,2,472.84889221191406,0.7784366607666016,iris,1,0.15,0.01,0.0
metacog,0.6666666666666666,0.6666666666666666,0.5555555555555555,0.6123724356957945,0.8333333333333334,,0.5003001606412475,0.9925327311980254,3,2,2,461.6894721984863,0.8015632629394531,iris,2,0.15,0.01,0.0
metacog,0.6666666666666666,0.6666666666666666,0.5555555555555555,0.6123724356957945,0.8333333333333334,,0.5053783704402405,0.9923855873540359,3,2,2,486.5720272064209,0.4570484161376953,iris,3,0.15,0.01,0.0
metacog,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8,0.9166666666666666,,0.28577510171176046,0.9820945677620531,9,5,5,915.6668186187744,0.5083084106445312,iris,4,0.15,0.01,0.0
metacog,1.0,1.0,1.0,1.0,1.0,,0.2877135249346605,0.9622918623199627,9,5,4,6774.591445922852,0.7309913635253906,wine,0,0.15,0.01,0.0
metacog,0.9444444444444444,0.9523809523809524,0.9440559440559441,0.9209401941068135,0.9810855810855811,,0.09676720274524803,0.992956148927088,9,5,5,7614.493370056152,1.1937618255615234,wine,1,0.15,0.01,0.0
metacog,0.6111111111111112,0.6,0.5185185185185185,0.5167423893288018,0.7494949494949495,,0.3774030947679678,0.9761711209664234,5,3,3,4321.928977966309,1.0368824005126953,wine,2,0.15,0.01,0.0
metacog,0.9444444444444444,0.9523809523809524,0.9487179487179488,0.9205607476635514,0.9731240981240982,,0.25335208604515086,0.990451244453784,11,6,5,7456.062316894531,0.6229877471923828,wine,3,0.15,0.01,0.0
metacog,0.8888888888888888,0.9047619047619048,0.8885003885003885,0.8457943925233645,0.9256715506715508,,0.24828160209775718,0.9703026118717079,9,5,4,5967.1430587768555,0.5867481231689453,wine,4,0.15,0.01,0.0
metacog,0.9473684210526315,0.9487012987012987,0.9449275362318841,0.8904905361044291,0.9512987012987013,0.9514896867838044,0.21358133163914025,0.9888872175996579,5,3,3,59161.09561920166,1.5985965728759766,breast_cancer,0,0.15,0.01,0.0
metacog,0.9649122807017544,0.9545454545454546,0.9623015873015872,0.9273353546322172,0.9318181818181818,0.9459459459459459,0.2977781401192274,0.9858737888548949,7,4,3,59035.02583503723,1.5311241149902344,breast_cancer,1,0.15,0.01,0.0
metacog,0.9298245614035088,0.9146825396825397,0.922972972972973,0.8486684247915055,0.9034391534391535,0.9130116959064327,0.2798662637828419,0.9830167275941617,5,3,3,59434.794902801514,3.109455108642578,breast_cancer,2,0.15,0.01,0.0
metacog,0.8947368421052632,0.876984126984127,0.8844594594594595,0.7715167498104596,0.8802910052910053,0.8822099765082221,0.21762724938439484,0.9801708000469725,13,7,6,102655.41982650757,1.821756362915039,breast_cancer,3,0.15,0.01,0.0
metacog,0.9298245614035088,0.9047619047619048,0.9210526315789473,0.8535639569308375,0.9047619047619048,0.9,0.3303387131174819,0.959075996239208,5,3,3,62742.682456970215,3.0150413513183594,breast_cancer,4,0.15,0.01,0.0
